ID,Gender,DevTyp,WBC,LYMp,MONp,NEUp,EOSp,BASOp,LYMn,MONn,NEUn,EOSn,BASOn,RBC,HGB,HCT,MCV,MCH,MCHC,RDWSD,RDWCV,PLT,MPV,PDW,PCT,PLCR,PLCC
79,0.0,1.0,6.77,23.5,6.97,68.36,0.85,0.32,1.591,0.472,4.628,0.058,0.022,4.68,13.3,40.5,86.5,28.4,33.0,39.1,12.2,37.0,9.4,5.0,0.03,47.71,18.0
80,0.0,2.0,15.23,13.36,4.98,81.03,0.59,0.04,2.03,0.76,12.34,0.09,0.01,15.23,4.31,12.41,36.9,85.6,33.6,45.5,13.3,60.1,9.3,18.2,0.06,48.0,36.18476669779512
81,0.0,1.0,5.99,43.14,6.94,48.04,1.33,0.55,2.584,0.416,2.878,0.08,0.033,3.91,10.7,36.0,92.0,27.3,30.0,43.7,12.0,295.0,6.8,47.0,0.2,7.13,21.0
82,0.0,1.0,3.62,44.21,3.82,50.03,1.52,0.42,1.6,0.138,1.811,0.055,0.015,3.26,6.9,25.5,78.2,21.2,27.0,66.7,25.6,105.0,7.9,7.6,0.08,46.22,49.0
83,0.0,1.0,9.83,19.08,4.63,74.66,1.43,0.2,1.876,0.455,7.339,0.141,0.02,4.2,7.3,26.9,64.0,17.4,27.0,38.0,15.7,187.0,7.5,7.6,0.14,51.56,96.0
84,0.0,1.0,6.84,27.56,4.47,64.41,3.28,0.28,1.885,0.306,4.406,0.224,0.019,4.79,12.3,40.1,83.8,25.7,31.0,63.2,13.2,264.0,7.1,6.1,0.19,43.76,116.0
85,1.0,2.0,8.19,16.31,7.67,71.12,4.6,0.3,1.34,0.63,5.82,0.38,0.02,4.44,14.57,41.6,93.7,32.8,35.0,17.8,66.7,566.5,8.3,19.8,0.47,35.2,142.8069582362575
86,0.0,1.0,42.35,3.69,2.16,7.59,86.43,0.13,1.563,0.915,3.214,36.603,0.055,2.81,8.3,25.8,91.8,29.6,32.0,49.5,14.4,52.0,8.0,5.0,0.04,23.31,12.0
87,0.0,1.0,5.35,37.81,9.25,50.2,2.3,0.44,2.023,0.495,2.686,0.123,0.024,4.82,9.5,34.1,70.7,19.71,28.0,56.3,22.4,264.0,6.7,5.4,0.18,50.12,132.0
88,1.0,1.0,49.43,84.72,4.23,10.3,0.53,0.22,41.87,2.091,5.091,0.262,0.109,1.97,6.3,20.0,101.7,32.0,31.0,50.6,13.0,55.0,9.2,7.2,0.05,25.87,14.0
89,0.0,1.0,2.32,38.33,4.07,56.44,0.63,0.53,0.889,0.094,1.309,0.015,0.012,4.53,12.3,40.5,89.4,27.2,30.0,41.4,11.8,135.0,10.5,9.4,0.14,33.09,45.0
90,0.0,1.0,5.57,30.78,5.19,62.5,1.23,0.3,1.714,0.289,3.481,0.069,0.017,5.53,10.4,37.1,67.1,18.8,28.0,34.5,13.4,288.0,7.7,6.1,0.22,31.78,92.0
91,1.0,1.0,419.0,8.12,4.14,87.68,0.02,0.04,0.34,0.173,3.674,0.001,0.002,4.32,12.4,40.8,94.4,28.7,30.0,48.3,13.4,131.0,8.1,7.2,0.11,15.43,20.0
92,0.0,1.0,4.06,42.05,5.97,50.3,1.06,0.62,1.707,242.0,2.042,0.043,0.025,4.34,12.0,40.4,93.0,27.6,30.0,41.4,11.9,200.0,7.8,5.4,0.16,12.39,25.0
93,0.0,2.0,21.8,8.02,23.64,67.28,0.86,0.2,3.15,9.3,26.45,0.34,0.08,7.77,14.19,47.4,61.0,18.3,29.9,56.1,23.0,516.7,8.1,17.2,0.42,38.0,127.66769098432411
94,1.0,1.0,7.27,25.95,9.09,61.52,3.08,0.36,1.887,0.661,4.473,0.224,0.026,4.12,9.6,34.0,82.5,23.3,28.0,43.7,13.4,175.0,6.9,5.4,0.12,14.53,25.0
95,0.0,2.0,13.13,32.12,6.41,59.11,2.2,0.16,4.22,0.84,7.76,0.29,0.02,2.88,9.07,26.4,91.7,31.5,34.4,58.0,15.8,156.6,8.7,19.5,0.14,38.6,45.59746570292274
96,0.0,2.0,12.84,21.03,25.71,52.4,0.8,0.06,2.7,3.3,6.73,0.1,0.01,4.2,11.4,33.9,80.7,27.1,33.6,54.2,16.8,319.2,8.6,19.8,0.27,38.3,83.90776072204488
97,0.0,2.0,13.92,17.42,13.74,66.98,1.07,0.79,2.42,1.91,9.33,0.15,0.11,4.34,8.3,25.7,59.2,19.1,32.3,49.0,20.7,101.4,9.8,15.6,60.9,60.9,69.9616453364469
98,1.0,1.0,20.14,68.69,3.73,25.57,1.49,0.52,13.834,0.751,5.15,0.3,0.105,6.03,16.4,53.6,88.9,27.2,31.0,41.4,11.9,233.0,8.6,6.8,0.2,20.94,49.0
99,0.0,1.0,5.19,63.43,5.72,28.78,1.51,0.56,3.292,0.297,1.494,0.078,0.029,4.83,12.7,43.0,89.2,26.3,30.0,44.8,13.0,327.0,7.3,5.4,0.24,14.02,46.0
100,0.0,2.0,6.81,40.81,9.54,41.6,7.89,0.16,2.78,0.65,2.83,0.54,0.01,4.32,14.35,40.8,94.4,33.2,35.2,45.3,12.0,287.3,9.5,17.5,0.27,46.5,93.66006855928049
101,1.0,2.0,10.59,36.54,6.59,52.34,4.15,0.38,3.87,0.7,5.54,0.44,0.04,6.01,19.38,57.1,65.0,32.2,33.9,50.2,13.2,346.4,9.9,18.5,0.34,47.8,107.79676182673143
102,0.0,2.0,4.52,49.34,1.16,48.58,0.56,0.36,2.22,0.05,2.2,0.03,0.02,1.8,4.71,13.8,76.7,26.2,34.1,74.6,24.3,271.6,8.7,18.7,0.24,39.8,87.95710641270708
103,1.0,2.0,9.91,38.06,7.5,51.77,2.38,0.29,3.77,0.74,5.13,0.24,0.03,2.94,9.12,26.4,89.8,31.0,34.5,86.2,24.0,147.4,10.4,21.4,0.15,50.9,65.89965381366605
104,0.0,1.0,19.47,19.05,4.37,75.43,0.96,0.19,3.709,0.851,14.686,0.187,0.037,5.32,9.8,35.8,67.3,18.4,27.0,40.2,15.7,38.0,7.4,30.0,0.03,64.9,25.0
105,0.0,1.0,7.41,30.57,10.06,58.49,0.54,0.34,2.265,0.745,4.334,0.04,0.025,3.96,13.2,40.2,101.4,33.3,33.0,43.7,10.4,223.0,6.3,4.7,0.14,15.82,35.0
106,0.0,1.0,7.09,28.12,6.9,64.08,0.55,0.35,1.994,0.489,4.543,0.039,0.025,4.4,10.9,36.8,83.7,24.8,30.0,42.5,12.6,226.0,8.4,7.2,0.19,25.6,58.0
107,1.0,1.0,6.92,15.27,5.94,78.09,0.58,0.12,1.057,0.411,5.404,0.04,0.008,3.68,12.1,37.3,101.5,32.9,32.0,51.8,13.0,352.0,7.2,4.3,0.25,11.72,41.0
108,0.0,2.0,6.09,37.45,9.17,51.29,2.0,0.09,2.28,0.56,3.12,0.12,0.01,4.21,12.53,35.9,85.3,29.8,34.9,47.4,13.9,191.5,8.8,17.6,0.17,40.6,58.13262840576471
109,1.0,1.0,2.25,23.66,10.14,64.9,0.88,0.42,0.532,0.228,1.46,0.02,0.009,3.77,10.6,34.7,91.9,28.1,31.0,46.0,12.1,282.0,7.6,5.4,0.21,13.88,39.0
110,1.0,2.0,7.48,33.9,11.72,50.41,3.87,0.1,2.54,0.88,3.76,0.29,0.01,5.61,15.15,45.3,80.7,27.0,33.4,44.2,13.7,197.7,10.9,19.3,0.22,57.5,87.36422959320132
111,1.0,2.0,9.16,34.88,7.4,55.32,2.07,0.33,3.2,0.68,5.06,0.19,0.03,4.92,14.66,43.6,88.6,29.8,33.6,50.7,14.3,321.5,8.2,17.7,0.26,33.8,80.87219600063645
112,1.0,1.0,7.88,30.96,6.79,51.96,9.89,0.4,2.44,0.535,4.094,0.779,0.032,3.68,10.4,33.5,91.17,28.3,31.0,44.8,12.7,181.0,8.6,7.9,0.16,24.38,44.0
113,0.0,1.0,9.38,17.89,3.62,76.92,1.33,0.24,1.678,0.34,7.215,0.125,0.023,5.13,10.6,35.5,69.2,20.6,30.0,40.2,15.2,271.0,8.0,6.5,0.22,43.46,118.0
114,0.0,2.0,2.44,21.25,16.28,57.14,5.0,0.33,0.52,0.4,1.39,0.12,0.01,2.7,8.64,25.2,93.3,32.0,34.3,56.7,15.2,49.9,9.4,18.5,0.05,47.1,33.12488941554867
115,0.0,1.0,5.76,43.74,5.56,47.78,2.38,0.54,2.519,0.32,2.752,0.137,0.031,4.26,6.9,26.9,63.0,16.2,26.0,40.2,16.7,372.0,6.7,5.8,0.25,44.2,164.0
116,1.0,1.0,12.33,9.47,9.55,79.89,0.93,0.16,1.168,1.178,9.85,0.115,0.02,4.34,14.9,46.0,106.0,34.4,32.0,78.2,19.9,365.0,7.9,5.0,0.29,21.22,77.0
117,0.0,1.0,4.38,34.65,5.21,59.07,0.67,0.4,1.518,0.228,2.587,0.029,0.018,4.64,11.6,38.5,83.0,25.0,30.0,39.1,12.1,171.0,9.2,7.6,0.16,32.75,56.0
118,1.0,1.0,39.77,89.49,4.65,4.82,0.58,0.46,35.59,1.849,1.917,0.231,0.183,2.69,7.3,25.7,95.8,27.2,28.0,54.0,15.4,78.0,7.3,40.0,0.06,19.2,15.0
